2022, 2095099999, PAJALA, SW, 85.5
2022, 1241099999, ORLAND, NO, 82.4
2021, 1065099999, KARASJOK, NO, 88.3
2021, 1062099999, HOPEN ISLAND, NO, 47.3
2020, 1023099999, BARDUFOSS, NO, 79.9
2020, 1008099999, LONGYEAR, SV, 71.1
2019, 1023099999, BARDUFOSS, NO, 78.8
2019, 1008099999, LONGYEAR, SV, 61.0
2018, 1025099999, TROMSO, NO, 84.2
2018, 1008099999, LONGYEAR, SV, 59.2
2017, 1023099999, BARDUFOSS, NO, 78.6
2017, 1008099999, LONGYEAR, SV, 55.4
2016, 1023199999, DRAUGEN, NO, 9999.9
2016, 1008099999, LONGYEAR, SV, 58.1
2015, 1025099999, TROMSO, NO, 71.6
2015, 1008099999, LONGYEAR, SV, 64.4
2014, 1023099999, BARDUFOSS, NO, 89.6
2014, 1008099999, LONGYEAR, SV, 53.6
2013, 1001499999, SORSTOKKEN, NO, 9999.9
2013, 1008099999, LONGYEAR, SV, 59.0
2012, 1023099999, BARDUFOSS, NO, 72.0
2012, 1044099999, HASVIK, NO, 69.8
2011, 1046099999, SORKJOSEN, NO, 87.8
2011, 1008099999, LONGYEAR, SV, 62.8
2010, 99407099999, DESTRUCTION IS. WA, WA US, 74.8
2010, 1052099999, HAMMERFEST AIRPORT, NO, 72.9
